borough,zip_code,week_of_year,week_sin,week_cos,latitude,longitude,temp_mean,temp_max,temp_min,humidity_mean,precip_sum,temp_mean_lag7,temp_mean_lag14,humidity_mean_lag7,precip_7d,precip_14d,degree_days_14d,positives_last_1w,positives_last_2_4w,zipcode
Queens,11359,33,-0.7485,-0.6631,40.7916,-73.77672,23.34,27.76,19.8,79.8,52.7,25.286,26.229,64.571,24.0,76.7,182.8,0,0,11359
Queens,11360,33,-0.7485,-0.6631,40.78042,-73.78184,23.34,27.76,19.8,79.8,52.7,25.286,26.229,64.571,24.0,76.7,182.8,1,3,11360
Queens,11361,33,-0.7485,-0.6631,40.76419,-73.77277,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,4,11361
Queens,11362,33,-0.7485,-0.6631,40.7602,-73.73242,23.34,27.76,19.8,79.8,52.7,25.286,26.229,64.571,24.0,76.7,182.8,1,5,11362
Queens,11363,33,-0.7485,-0.6631,40.77235,-73.74629,23.34,27.76,19.8,79.8,52.7,25.286,26.229,64.571,24.0,76.7,182.8,0,1,11363
Queens,11364,33,-0.7485,-0.6631,40.74625,-73.75606,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,2,11364
Queens,11365,33,-0.7485,-0.6631,40.73963,-73.79449,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,1,3,11365
Queens,11366,33,-0.7485,-0.6631,40.73112,-73.78046,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,0,11366
Queens,11367,33,-0.7485,-0.6631,40.73047,-73.82275,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,2,11367
Queens,11368,33,-0.7485,-0.6631,40.74974,-73.85304,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,1,3,11368
